force;displacement;velocity;current;frequency
0.835922599;16.73764038;109.6675633;0;1
0.830672204;16.85444641;108.9588022;0;1
0.825613797;16.97125053;108.2457395;0;1
0.820987999;17.08693123;107.5284035;0;1
0.815973818;17.201334;106.8068225;0;1
0.810693979;17.31566811;106.0810249;0;1
0.805615604;17.42989159;105.3510394;0;1
0.800936401;17.54301453;104.6168948;0;1
0.795095623;17.65546608;103.8786201;0;1
0.789294183;17.76606369;103.1362445;0;1
0.783866227;17.87698936;102.3897973;0;1
0.779146016;17.98672295;101.6393078;0;1
0.774861217;18.09635162;100.8848059;0;1
0.769701421;18.20521355;100.1263211;0;1
0.764077187;18.31310272;99.36388356;0;1
0.759148419;18.41974068;98.59752329;0;1
0.752926171;18.52541161;97.82727055;0;1
0.748215616;18.63095093;97.05315576;0;1
0.743192792;18.73523712;96.27520948;0;1
0.738864779;18.83944702;95.49346242;0;1
0.734121621;18.94340515;94.70794544;0;1
0.72912842;19.04583931;93.91868955;0;1
0.724652171;19.147789;93.12572592;0;1
0.72058481;19.24904251;92.32908584;0;1
0.715738595;19.34983826;91.52880076;0;1
0.710743427;19.4500618;90.72490228;0;1
0.706567228;19.54920387;89.91742214;0;1
0.702257574;19.64717865;89.10639221;0;1
0.69750762;19.74494934;88.29184452;0;1
0.69204098;19.84267998;87.47381121;0;1
0.687982976;19.93941307;86.65232459;0;1
0.683308184;20.03464699;85.82741708;0;1
0.678604186;20.12965012;84.99912125;0;1
0.673157394;20.22400475;84.1674698;0;1
0.667508423;20.31694984;83.33249557;0;1
0.661810994;20.40939522;82.4942315;0;1
0.656032383;20.50104713;81.65271071;0;1
0.6492576;20.59149361;80.80796641;0;1
0.644927382;20.68128395;79.96003195;0;1
0.639684379;20.77014923;79.1089408;0;1
0.633871377;20.85823822;78.25472657;0;1
0.627994597;20.9450264;77.39742297;0;1
0.622160196;21.03170013;76.53706385;0;1
0.616717994;21.11758232;75.67368319;0;1
0.612228811;21.20166779;74.80731505;0;1
0.606420219;21.28523636;73.93799365;0;1
0.602455199;21.36881256;73.06575331;0;1
0.59793961;21.45099068;72.19062845;0;1
0.593754828;21.53245735;71.31265363;0;1
0.589088798;21.61291695;70.43186351;0;1
0.582940221;21.69274902;69.54829286;0;1
0.578651607;21.77197647;68.66197656;0;1
0.574517608;21.85039711;67.7729496;0;1
0.569684982;21.92797089;66.88124709;0;1
0.56489557;22.00476646;65.98690421;0;1
0.560491621;22.07949448;65.08995629;0;1
0.556430399;22.15435028;64.19043872;0;1
0.550886393;22.22789955;63.28838703;0;1
0.546311617;22.30151176;62.38383682;0;1
0.541858792;22.37374306;61.4768238;0;1
0.537536383;22.44473076;60.56738379;0;1
0.53268379;22.51520729;59.65555267;0;1
0.526943803;22.58546448;58.74136646;0;1
0.52256459;22.65381813;57.82486123;0;1
0.519034982;22.72166824;56.90607319;0;1
0.51430738;22.78842545;55.98503858;0;1
0.509088218;22.85481262;55.06179378;0;1
0.504751623;22.91986465;54.13637524;0;1
0.499619007;22.98415184;53.20881949;0;1
0.494702399;23.04770279;52.27916314;0;1
0.488929212;23.10995483;51.3474429;0;1
0.483995199;23.17169762;50.41369555;0;1
0.480700612;23.23182678;49.47795795;0;1
